title,description,location,price_per_night,amenities,host,is_available
Historical Townhouse,Renovated townhouse in the historic district,Lagos,180.00,Wi-Fi, kitchen, [Host's Name],True
Family-Friendly Apartment,Spacious apartment ideal for families,Lagos,220.00,Playground, kitchen, Wi-Fi, [Host's Name],True
Beachfront Bungalow,Cozy bungalow with direct beach access,Lagos,175.00,Beachfront, kitchen, [Host's Name],True
Mountainside Cabin,Rustic cabin with stunning mountain views,Lagos,150.00,Fireplace, kitchen, [Host's Name],True
City Center Studio,Modern studio apartment in the city center,Lagos,180.00,Gym, Wi-Fi, [Host's Name],True
Luxury Penthouse,Penthouse apartment with panoramic views,Lagos,300.00,Pool, gym, [Host's Name],True
Charming Cottage,Quaint cottage with garden,Lagos,160.00,Garden, kitchen, [Host's Name],True
Modern Loft,Open-plan loft with high ceilings,Lagos,200.00,Kitchen, Wi-Fi, [Host's Name],True
Beachfront Villa,Luxurious villa with private pool,Lagos,350.00,Pool, beachfront, [Host's Name],True
Family-Friendly House,Spacious house with backyard,Lagos,250.00,Backyard, kitchen, [Host's Name],True
City Center Apartment,Stylish apartment in the heart of the city,Lagos,220.00,Gym, Wi-Fi, [Host's Name],True
Beachfront Cottage,Charming cottage with ocean views,Lagos,175.00,Kitchen, beachfront, [Host's Name],True
Mountainside Cabin,Rustic cabin with stunning mountain views,Lagos,150.00,Fireplace, kitchen, [Host's Name],True
City Center Studio,Modern studio apartment in the city center,Lagos,180.00,Gym, Wi-Fi, [Host's Name],True
Luxury Penthouse,Penthouse apartment with panoramic views,Lagos,300.00,Pool, gym, [Host's Name],True
Charming Cottage,Quaint cottage with garden,Lagos,160.00,Garden, kitchen, [Host's Name],True
Modern Loft,Open-plan loft with high ceilings,Lagos,200.00,Kitchen, Wi-Fi, [Host's Name],True
Beachfront Villa,Luxurious villa with private pool,Lagos,350.00,Pool, beachfront, [Host's Name],True
Family-Friendly House,Spacious house with backyard,Lagos,250.00,Backyard, kitchen, [Host's Name],True
City Center Apartment,Stylish apartment in the heart of the city,Lagos,220.00,Gym, Wi-Fi, [Host's Name],True
